#airframe_info, log_version="1.03", log_content_version="1.02", Product="GIFD", airframe_name="Diamond DA40NG", unit_software_part_number="006-B1177-6H", unit_software_version="20.90", system_software_part_number="006-B1669-14", system_id="26356A116", mode=NORMAL, flightstream_header="26356A116_0901", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,   gals,   gals,      gph,      psi,   deg F,     psi,    rpm,       %,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  FQtyL,  FQtyR, E1 FFlow, E1 FPres, E1 OilT, E1 OilP, E1 RPM, E1 %Pwr,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
          ,         ,        ,       ,             ,             ,        , 30.05,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,        ,        ,       ,        ,        ,    ,  GPS,   53.5, 111.10, 111.10, 121.200, 123.775,       ,       ,       ,      ,       ,       ,   -6.6,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,        , 30.05,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,        ,        ,       ,        ,        ,    ,  GPS,   53.5, 111.10, 111.10, 121.200, 123.775,       ,       ,       ,      ,       ,       ,   -6.6,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,        , 30.05,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,        ,        ,       ,        ,        ,    ,  GPS,   53.5, 111.10, 111.10, 121.200, 123.775,       ,       ,       ,      ,       ,       ,   -6.6,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,        , 30.05,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,        ,        ,       ,        ,        ,    ,  GPS,   53.5, 111.10, 111.10, 121.200, 123.775,       ,       ,       ,      ,       ,       ,   -6.6,      0,  NONE,   NONE,      ,      ,      , NoSoln, 1852,     0,       ,      ,       
2026-02-08, 15:50:52,  +00:00,       ,             ,             ,        , 30.05,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,        ,        ,       ,        ,        ,    ,  GPS,   53.5, 111.10, 111.10, 121.200, 123.775,       ,       ,       ,      ,       ,       ,   -6.6,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-02-08, 15:50:53,  +00:00,       ,             ,             ,   -84.2, 30.05,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  22.4,  -0.0,   9.20,  10.53,         ,         ,        ,        ,       ,        ,        ,   0,  GPS,   53.5, 111.10, 111.10, 121.200, 123.775,       ,       ,       ,      ,       ,       ,   -6.6,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-02-08, 15:50:54,  +00:00,       ,             ,             ,   -84.2, 30.05,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  22.4,  -0.0,   9.20,  10.53,         ,         ,        ,        ,       ,        ,        ,   0,  GPS,   53.5, 111.10, 111.10, 121.200, 123.775,       ,       ,       ,      ,       ,       ,   -6.6,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-02-08, 15:50:55,  +00:00,       ,             ,             ,   -85.2, 30.05,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  22.5,  -0.0,   9.20,  10.53,         ,         ,        ,        ,       ,        ,        ,   0,  GPS,   53.5, 111.10, 111.10, 121.200, 123.775,       ,       ,       ,      ,       ,       ,   -6.6,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-02-08, 15:50:56,  +00:00,       ,             ,             ,   -85.2, 30.05,        ,  15.5,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  22.5,  -0.0,   9.20,  10.53,         ,         ,        ,        ,       ,        ,        ,   0,  GPS,   53.5, 111.10, 111.10, 121.200, 123.775,       ,       ,       ,      ,       ,       ,   -6.6,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-02-08, 15:50:57,  +00:00,       ,             ,             ,   -86.2, 30.05,        ,  15.5,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  22.6,  -0.0,   9.20,  10.53,         ,         ,        ,        ,       ,        ,        ,   0,  GPS,   53.5, 111.10, 111.10, 121.200, 123.775,       ,       ,       ,      ,       ,       ,   -6.6,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
