#airframe_info, log_version="1.03", log_content_version="1.02", Product="GIFD", airframe_name="Diamond DA40NG", unit_software_part_number="006-B1177-6H", unit_software_version="20.90", system_software_part_number="006-B1669-14", system_id="26356A116", mode=NORMAL, flightstream_header="26356A116_0902", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,   gals,   gals,      gph,      psi,   deg F,     psi,    rpm,       %,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  FQtyL,  FQtyR, E1 FFlow, E1 FPres, E1 OilT, E1 OilP, E1 RPM, E1 %Pwr,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
          ,         ,        ,       ,             ,             ,        , 30.28,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,        ,        ,       ,        ,        ,    ,  GPS,  346.0, 111.10, 111.10, 127.400, 121.500,       ,       ,       ,      ,       ,       ,   -6.1,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,        , 30.28,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,        ,        ,       ,        ,        ,    ,  GPS,  346.0, 111.10, 111.10, 127.400, 121.500,       ,       ,       ,      ,       ,       ,   -6.1,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,        , 30.28,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,        ,        ,       ,        ,        ,    ,  GPS,  346.0, 111.10, 111.10, 127.400, 121.500,       ,       ,       ,      ,       ,       ,   -6.1,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,    34.1, 30.28,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,        ,        ,       ,        ,        ,   0,  GPS,  346.0, 111.10, 111.10, 127.400, 121.500,       ,       ,       ,      ,       ,       ,   -6.1,      0,  NONE,   NONE,      ,      ,      , NoSoln, 1852,     0,       ,      ,       
2026-02-08, 18:10:33,  +00:00,       ,             ,             ,    34.1, 30.28,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,        ,        ,       ,        ,        ,   0,  GPS,  346.0, 111.10, 111.10, 127.400, 121.500,       ,       ,       ,      ,       ,       ,   -6.1,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-02-08, 18:10:34,  +00:00,       ,             ,             ,    33.1, 30.28,        ,  19.0,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.0,  -0.0,  14.00,  14.00,         ,         ,        ,        ,       ,        ,        ,   0,  GPS,  346.0, 111.10, 111.10, 127.400, 121.500,       ,       ,       ,      ,       ,       ,   -6.1,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-02-08, 18:10:35,  +00:00,       ,             ,             ,    33.1, 30.28,        ,  19.0,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.0,  -0.0,  14.00,  14.00,         ,         ,        ,        ,       ,        ,        ,   0,  GPS,  346.0, 111.10, 111.10, 127.400, 121.500,       ,       ,       ,      ,       ,       ,   -6.1,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-02-08, 18:10:36,  +00:00,       ,             ,             ,    33.1, 30.28,        ,  19.0,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.0,  -0.0,  14.00,  14.00,         ,         ,        ,        ,       ,        ,        ,   0,  GPS,  346.0, 111.10, 111.10, 127.400, 121.500,       ,       ,       ,      ,       ,       ,   -6.1,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-02-08, 18:10:37,  +00:00,       ,             ,             ,    33.1, 30.28,        ,  19.0,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.9,  -0.0,  14.00,  14.00,         ,         ,        ,        ,       ,        ,        ,   0,  GPS,  346.0, 111.10, 111.10, 127.400, 121.500,       ,       ,       ,      ,       ,       ,   -6.1,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-02-08, 18:10:38,  +00:00,       ,             ,             ,    32.1, 30.28,        ,  19.0,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.9,  -0.0,  14.00,  14.00,         ,         ,        ,        ,       ,        ,        ,   0,  GPS,  346.0, 111.10, 111.10, 127.400, 121.500,       ,       ,       ,      ,       ,       ,   -6.1,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
